Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death
Andhra Pradesh,3,0,0,0
Chhattisgarh,1,0,0,0
Delhi,16,1,5,1
Gujarat,5,0,0,0
Haryana,3,14,0,0
Karnataka,15,0,1,1
Kerala,26,2,3,0
Maharashtra,49,3,0,1
Odisha,2,0,0,0
Puducherry,1,0,0,0
Punjab,2,0,0,1
Rajasthan,15,2,3,0
Tamil Nadu,3,0,1,0
Telengana,8,9,1,0
Union Territory of Chandigarh,1,0,0,0
Union Territory of Jammu and Kashmir,4,0,0,0
Union Territory of Ladakh,10,0,0,0
Uttar Pradesh,22,1,9,0
Uttarakhand,3,0,0,0
West Bengal,2,0,0,0
Total number of confirmed cases in India,191,32,23,4
