Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,15712,2231,507
Maharashtra,3651,365,211
Delhi,1893,72,42
Madhya Pradesh,1407,127,70
Gujarat,1376,93,53
Tamil Nadu,1372,365,15
Rajasthan,1351,183,11
Uttar Pradesh,969,86,14
Telengana,809,186,18
Andhra Pradesh,603,42,15
Kerala,400,257,3
Karnataka,384,104,14
Jammu and Kashmir,341,51,5
West Bengal,310,62,12
Haryana,225,43,3
Punjab,202,27,13
Bihar,86,37,2
Odisha,61,24,1
Uttarakhand,42,9,0
Himachal Pradesh,39,16,1
Chhattisgarh,36,24,0
Assam,35,12,1
Jharkhand,34,0,2
Chandigarh,23,10,0
Ladakh,18,14,0
Andaman and Nicobar Islands,14,11,0
Meghalaya,11,0,1
Puducherry,7,3,0
Goa,7,6,0
Tripura,2,1,0
Manipur,2,1,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
Nagaland#,0,0,0
