Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,12759,1515,420
Maharashtra,2919,295,187
Delhi,1578,42,32
Tamil Nadu,1242,118,14
Madhya Pradesh,1120,64,53
Rajasthan,1023,147,3
Gujarat,871,64,36
Uttar Pradesh,773,68,13
Telengana,698,120,18
Andhra Pradesh,534,20,14
Kerala,388,218,3
Karnataka,315,82,13
Jammu and Kashmir,300,36,4
West Bengal,231,42,7
Haryana,205,43,3
Punjab,186,27,13
Bihar,74,29,1
Odisha,60,18,1
Uttarakhand,37,9,0
Himachal Pradesh,35,16,1
Assam,33,5,1
Chhattisgarh,33,17,0
Jharkhand,28,0,2
Chandigarh,21,7,0
Ladakh,17,10,0
Andaman and Nicobar Islands,11,10,0
Puducherry,7,1,0
Meghalaya,7,0,1
Goa,7,5,0
Tripura,2,1,0
Manipur,2,1,0
Arunachal Pradesh,1,0,0
Mizoram,1,0,0
Nagaland#,0,0,0
